BBB Time,Weeks,Secs,,,,,,,
26:41.3,2156,513337200,,0.118055556,0.1,,,,
26:41.4,2156,513337300,,0.126157407,0.1,,,,
26:41.5,2156,513337400,,0.101851852,0.1,,,,
26:41.6,2156,513337500,,0.115740741,0.1,,,,
26:41.8,2156,513337600,,0.207175926,0.1,,,,
26:41.8,2156,513337700,,0.023148148,0.1,,,,
26:41.9,2156,513337800,,0.127314815,0.1,,,,
26:42.0,2156,513337900,,0.101851852,0.1,,,,
26:42.1,2156,513338000,,0.116898148,0.1,,,,
26:42.2,2156,513338100,,0.114583333,0.1,,,,
26:42.3,2156,513338200,,0.114583333,0.1,,,,
26:42.4,2156,513338300,,0.128472222,0.1,,,,
26:42.5,2156,513338400,,0.101851852,0.1,,,,
26:42.6,2156,513338500,,0.115740741,0.1,,,,
26:42.7,2156,513338600,,0.114583333,0.1,,,,
26:42.8,2156,513338700,,0.115740741,0.1,,,,
26:42.9,2156,513338800,,0.126157407,0.1,,,,
26:43.0,2156,513338900,,0.104166667,0.1,,,,
26:43.1,2156,513339000,,0.115740741,0.1,,,,
26:43.2,2156,513339100,,0.114583333,0.1,,,,
26:43.3,2156,513339200,,0.114583333,0.1,,,,
26:43.4,2156,513339300,,0.126157407,0.1,,,,
26:43.5,2156,513339400,,0.105324074,0.1,,,,
26:43.6,2156,513339500,,0.114583333,0.1,,,,
26:43.8,2156,513339600,,0.207175926,0.1,,,,
26:43.8,2156,513339700,,0.023148148,0.1,,,,
26:43.9,2156,513339800,,0.125,0.1,,,,
26:44.0,2156,513339900,,0.104166667,0.1,,,,
26:44.1,2156,513340000,,0.115740741,0.1,,,,
26:44.2,2156,513340100,,0.114583333,0.1,,,,
26:44.3,2156,513340200,,0.119212963,0.1,,,,
26:44.4,2156,513340300,,0.12037037,0.1,,,,
26:44.5,2156,513340400,,0.106481481,0.1,,,,
26:44.6,2156,513340500,,0.114583333,0.1,,,,
26:44.7,2156,513340600,,0.114583333,0.1,,,,
26:44.8,2156,513340700,,0.114583333,0.1,,,,
26:44.9,2156,513340800,,0.123842593,0.1,,,,
26:45.0,2156,513340900,,0.106481481,0.1,,,,
26:45.1,2156,513341000,,0.115740741,0.1,,,,
26:45.2,2156,513341100,,0.116898148,0.1,,,,
26:45.3,2156,513341200,,0.114583333,0.1,,,,
26:45.4,2156,513341300,,0.12037037,0.1,,,,
26:45.5,2156,513341400,,0.108796296,0.1,,,,
26:45.6,2156,513341500,,0.115740741,0.1,,,,
26:45.8,2156,513341600,,0.207175926,0.1,,,,
26:45.8,2156,513341700,,0.039351852,0.1,,,,
26:45.9,2156,513341800,,0.104166667,0.1,,,,
26:46.0,2156,513341900,,0.108796296,0.1,,,,
26:46.1,2156,513342000,,0.116898148,0.1,,,,
26:46.2,2156,513342100,,0.114583333,0.1,,,,
26:46.3,2156,513342200,,0.115740741,0.1,,,,
26:46.4,2156,513342300,,0.119212963,0.1,,,,
26:46.5,2156,513342400,,0.109953704,0.1,,,,
26:46.6,2156,513342500,,0.115740741,0.1,,,,
26:46.7,2156,513342600,,0.113425926,0.1,,,,
26:46.8,2156,513342700,,0.115740741,0.1,,,,
26:46.9,2156,513342800,,0.12037037,0.1,,,,
26:47.0,2156,513342900,,0.109953704,0.1,,,,
26:47.1,2156,513343000,,0.116898148,0.1,,,,
26:47.2,2156,513343100,,0.113425926,0.1,,,,
26:47.3,2156,513343200,,0.114583333,0.1,,,,
26:47.4,2156,513343300,,0.119212963,0.1,,,,
26:47.5,2156,513343400,,0.112268519,0.1,,,,
26:47.6,2156,513343500,,0.116898148,0.1,,,,
26:47.7,2156,513343600,,0.206018519,0.1,,,,
26:47.8,2156,513343700,,0.025462963,0.1,,,,
26:47.9,2156,513343800,,0.114583333,0.1,,,,
26:48.0,2156,513343900,,0.112268519,0.1,,,,
26:48.1,2156,513344000,,0.116898148,0.1,,,,
26:48.2,2156,513344100,,0.114583333,0.1,,,,
26:48.3,2156,513344200,,0.114583333,0.1,,,,
26:48.4,2156,513344300,,0.116898148,0.1,,,,
26:48.5,2156,513344400,,0.113425926,0.1,,,,
26:48.6,2156,513344500,,0.116898148,0.1,,,,
26:48.7,2156,513344600,,0.113425926,0.1,,,,
26:48.8,2156,513344700,,0.115740741,0.1,,,,
26:48.9,2156,513344800,,0.116898148,0.1,,,,
26:49.0,2156,513344900,,0.112268519,0.1,,,,
26:49.1,2156,513345000,,0.115740741,0.1,,,,
26:49.2,2156,513345100,,0.114583333,0.1,,,,
26:49.3,2156,513345200,,0.114583333,0.1,,,,
26:49.4,2156,513345300,,0.115740741,0.1,,,,
26:49.5,2156,513345400,,0.114583333,0.1,,,,
26:49.6,2156,513345500,,0.118055556,0.1,,,,
