BBB Time,Weeks,Secs,,,,,,,,
02:02.5,2156,511850800,,,0.116898148,0.1,,,,
02:02.6,2156,511850900,,,0.114583333,0.1,,,,
02:02.7,2156,511851000,,,0.114583333,0.1,,,,
02:02.8,2156,511851100,,,0.113425926,0.1,,,,
02:02.9,2156,511851200,,,0.115740741,0.1,,,,
02:03.0,2156,511851300,,,0.114583333,0.1,,,,
02:03.1,2156,511851400,,,0.116898148,0.1,,,,
02:03.2,2156,511851500,,,0.153935185,0.1,,,,
02:03.3,2156,511851600,,,0.074074074,0.1,,,,
02:03.4,2156,511851700,,,0.115740741,0.1,,,,
02:03.5,2156,511851800,,,0.115740741,0.1,,,,
02:03.6,2156,511851900,,,0.118055556,0.1,,,,
02:03.7,2156,511852000,,,0.114583333,0.1,,,,
02:03.8,2156,511852100,,,0.112268519,0.1,,,,
02:03.9,2156,511852200,,,0.114583333,0.1,,,,
02:04.0,2156,511852300,,,0.114583333,0.1,,,,
02:04.1,2156,511852400,,,0.114583333,0.1,,,,
02:04.2,2156,511852500,,,0.12037037,0.1,,,,
02:04.3,2156,511852600,,,0.111111111,0.1,,,,
02:04.4,2156,511852700,,,0.113425926,0.1,,,,
02:04.5,2156,511852800,,,0.115740741,0.1,,,,
02:04.6,2156,511852900,,,0.118055556,0.1,,,,
02:04.7,2156,511853000,,,0.114583333,0.1,,,,
02:04.8,2156,511853100,,,0.112268519,0.1,,,,
02:04.9,2156,511853200,,,0.114583333,0.1,,,,
02:05.0,2156,511853300,,,0.115740741,0.1,,,,
02:05.1,2156,511853400,,,0.114583333,0.1,,,,
02:05.2,2156,511853500,,,0.157407407,0.1,,,,
02:05.3,2156,511853600,,,0.075231481,0.1,,,,
02:05.4,2156,511853700,,,0.115740741,0.1,,,,
02:05.5,2156,511853800,,,0.114583333,0.1,,,,
02:05.6,2156,511853900,,,0.115740741,0.1,,,,
02:05.7,2156,511854000,,,0.113425926,0.1,,,,
02:05.8,2156,511854100,,,0.112268519,0.1,,,,
02:05.9,2156,511854200,,,0.115740741,0.1,,,,
02:06.0,2156,511854300,,,0.114583333,0.1,,,,
02:06.1,2156,511854400,,,0.119212963,0.1,,,,
02:06.2,2156,511854500,,,0.111111111,0.1,,,,
02:06.2,2156,511854600,,,0.114583333,0.1,,,,
02:06.3,2156,511854700,,,0.114583333,0.1,,,,
02:06.4,2156,511854800,,,0.115740741,0.1,,,,
02:06.5,2156,511854900,,,0.114583333,0.1,,,,
02:06.6,2156,511855000,,,0.118055556,0.1,,,,
02:06.7,2156,511855100,,,0.112268519,0.1,,,,
02:06.8,2156,511855200,,,0.114583333,0.1,,,,
02:06.9,2156,511855300,,,0.115740741,0.1,,,,
02:07.0,2156,511855400,,,0.114583333,0.1,,,,
02:07.2,2156,511855500,,,0.15625,0.1,,,,
02:07.2,2156,511855600,,,0.074074074,0.1,,,,
02:07.3,2156,511855700,,,0.119212963,0.1,,,,
02:07.4,2156,511855800,,,0.113425926,0.1,,,,
02:07.5,2156,511855900,,,0.118055556,0.1,,,,
02:07.6,2156,511856000,,,0.111111111,0.1,,,,
02:07.7,2156,511856100,,,0.114583333,0.1,,,,
02:07.8,2156,511856200,,,0.114583333,0.1,,,,
02:07.9,2156,511856300,,,0.114583333,0.1,,,,
02:08.0,2156,511856400,,,0.114583333,0.1,,,,
02:08.1,2156,511856500,,,0.116898148,0.1,,,,
02:08.2,2156,511856600,,,0.113425926,0.1,,,,
02:08.3,2156,511856700,,,0.115740741,0.1,,,,
02:08.4,2156,511856800,,,0.114583333,0.1,,,,
02:08.5,2156,511856900,,,0.114583333,0.1,,,,
02:08.6,2156,511857000,,,0.118055556,0.1,,,,
02:08.7,2156,511857100,,,0.113425926,0.1,,,,
