BBB Time,Mag Vals,Lamor,,,Delta t,count,,threshold
24:31.7,15771.059,334,,,00:00.1,,,
24:31.8,15698.159,317,,,00:00.1,,,
24:31.9,15655.1,364,,,00:00.1,,,
24:32.0,15584.858,320,,,00:00.1,,,
24:32.1,15539.509,337,,,00:00.1,,,
24:32.2,15499.924,322,,,00:00.1,,,
24:32.3,15428.022,334,,,00:00.1,,,
24:32.4,15357.34,310,,,00:00.1,,,
24:32.5,15313.941,342,,,00:00.1,,,
24:32.6,15246.02,344,,,00:00.1,,,
24:32.7,15202.039,317,,,00:00.1,,,
24:32.8,15136.461,313,,,00:00.1,,,
24:32.9,15066.358,327,,,00:00.1,,,
24:33.0,15023.163,313,,,00:00.1,,,
24:33.1,14986.134,315,,,00:00.1,,,
24:33.2,14921.668,317,,,00:00.1,,,
24:33.3,14881.615,339,,,00:00.1,,,
24:33.4,14844.835,347,,,00:00.1,,,
24:33.5,14809.166,325,,,00:00.1,,,
24:33.6,14748.901,320,,,00:00.1,,,
24:33.7,14710.758,325,,,00:00.1,,,
24:33.8,14673.749,310,,,00:00.1,,,
24:33.9,14637.837,339,,,00:00.1,,,
24:34.0,14604.447,320,,,00:00.1,,,
24:34.1,14544.001,325,,,00:00.1,,,
24:34.2,14505.644,327,,,00:00.1,,,
24:34.3,14471.337,300,,,00:00.1,,,
24:34.4,14413.077,315,,,00:00.1,,,
24:34.5,14373.838,305,,,00:00.1,,,
24:34.6,14312.951,313,,,00:00.1,,,
24:34.7,14276.195,334,,,00:00.1,,,
24:34.8,14215.302,317,,,00:00.1,,,
24:34.9,14153.821,334,,,00:00.1,,,
24:35.0,14117.067,320,,,00:00.1,,,
24:35.1,14057.64,327,,,00:00.1,,,
24:35.2,14022.198,315,,,00:00.1,,,
24:35.3,13967.716,300,,,00:00.1,,,
24:35.4,13932.437,320,,,00:00.1,,,
24:35.5,13899.956,344,,,00:00.1,,,
24:35.6,13843.21,347,,,00:00.1,,,
24:35.7,13807.71,352,,,00:00.1,,,
24:35.8,13753.065,317,,,00:00.1,,,
24:35.9,13669.271,308,,,00:00.1,,,
24:36.0,13631.294,315,,,00:00.1,,,
24:36.1,13599.533,339,,,00:00.1,,,
24:36.2,13545.074,322,,,00:00.1,,,
24:36.3,13512.337,310,,,00:00.1,,,
24:36.4,13460.337,310,,,00:00.1,,,
24:36.5,13428.159,344,,,00:00.1,,,
24:36.6,13398.348,359,,,00:00.1,,,
24:36.7,13347.398,305,,,00:00.1,,,
24:36.8,13314.581,344,,,00:00.1,,,
24:36.9,13285.33,337,,,00:00.1,,,
24:37.0,13234.591,320,,,00:00.1,,,
24:37.1,13204.033,354,,,00:00.1,,,
24:37.2,13175.601,320,,,00:00.1,,,
24:37.3,13124.342,334,,,00:00.1,,,
24:37.4,13093.546,317,,,00:00.1,,,
24:37.5,13065.401,320,,,00:00.1,,,
24:37.7,13038.615,352,,,00:00.1,,,
24:37.7,12989.694,295,,,00:00.1,,,
24:37.9,12959.502,315,,,00:00.1,,,
24:38.0,12930.943,305,,,00:00.1,,,
24:38.1,12905.002,349,,,00:00.1,,,
24:38.2,12856.278,334,,,00:00.1,,,
24:38.3,12827.789,332,,,00:00.1,,,
24:38.4,12800.132,315,,,00:00.1,,,
24:38.5,12754.109,315,,,00:00.1,,,
24:38.6,12704.689,320,,,00:00.1,,,
24:38.7,12673.822,320,,,00:00.1,,,
24:38.8,12626.639,315,,,00:00.1,,,
24:38.9,12577.242,342,,,00:00.1,,,
24:39.0,12548.521,308,,,00:00.1,,,
24:39.1,12522.002,342,,,00:00.1,,,
24:39.2,12475.261,334,,,00:00.1,,,
24:39.3,12427.328,347,,,00:00.1,,,
24:39.4,12399.697,339,,,00:00.1,,,
24:39.5,12354.153,317,,,00:00.1,,,
24:39.6,12327.167,315,,,00:00.1,,,
24:39.7,2484.454,322,,,00:00.1,,,
24:39.8,0,327,,,00:00.1,,,
24:39.9,0,322,,,00:00.1,,,
24:40.0,0,310,,,00:00.1,,,
24:40.1,0,313,,,00:00.1,,,
24:40.2,0,376,,,00:00.1,,,
24:41.2,188792.507,332,,,00:01.0,here,,
24:41.3,181401.025,322,,,00:00.1,,,
24:41.4,172075.163,303,,,00:00.1,,,
24:41.5,166943.973,347,,,00:00.1,,,
24:41.6,158921.264,317,,,00:00.1,,,
24:41.7,151618.681,361,,,00:00.1,,,
24:41.8,150527.469,327,,,00:00.1,,,
24:41.9,141804.083,344,,,00:00.1,,,
24:42.0,140492.241,342,,,00:00.1,,,
24:42.1,135188.954,339,,,00:00.1,,,
24:42.2,134499.8,337,,,00:00.1,,,
24:42.3,127544.907,313,,,00:00.1,,,
24:42.4,122430.726,308,,,00:00.1,,,
24:42.5,119644.065,334,,,00:00.1,,,
24:42.6,115616.84,320,,,00:00.1,,,
24:42.7,113169.081,317,,,00:00.1,,,
24:42.8,109554.691,347,,,00:00.1,,,
24:42.9,107548.67,342,,,00:00.1,,,
24:43.0,105664.543,303,,,00:00.1,,,
24:43.1,102426.81,356,,,00:00.1,,,
24:43.2,99384.483,342,,,00:00.1,,,
24:43.3,96315.307,332,,,00:00.1,,,
24:43.4,94557.046,356,,,00:00.1,,,
24:43.5,91936.18,317,,,00:00.1,,,
24:43.6,89367.203,310,,,00:00.1,,,
24:43.7,86893.734,342,,,00:00.1,,,
24:43.8,85603.613,327,,,00:00.1,,,
24:43.9,84467.15,325,,,00:00.1,,,
24:44.0,82387.788,325,,,00:00.1,,,
24:44.1,81181.583,327,,,00:00.1,,,
24:44.2,80123.503,310,,,00:00.1,,,
24:44.3,79079.978,317,,,00:00.1,,,
24:44.4,77329.497,337,,,00:00.1,,,
24:44.5,76308.932,361,,,00:00.1,,,
24:44.6,74670.758,317,,,00:00.1,,,
24:44.7,73694.523,354,,,00:00.1,,,
24:44.8,72794.361,315,,,00:00.1,,,
24:44.9,71263.393,313,,,00:00.1,,,
24:45.0,70378.589,330,,,00:00.1,,,
24:45.1,69580.446,334,,,00:00.1,,,
24:45.2,68793.844,342,,,00:00.1,,,
24:45.3,67428.631,308,,,00:00.1,,,
24:45.4,66632.117,339,,,00:00.1,,,
24:45.5,65297.337,313,,,00:00.1,,,
24:45.6,64085.741,330,,,00:00.1,,,
24:45.7,63291.995,356,,,00:00.1,,,
24:45.8,62123.212,339,,,00:00.1,,,
24:45.9,61451.147,330,,,00:00.1,,,
24:46.0,60380.749,315,,,00:00.1,,,
24:46.1,59734.099,344,,,00:00.1,,,
24:46.2,58715.012,303,,,00:00.1,,,
24:46.3,58073.131,344,,,00:00.1,,,
24:46.4,57532.226,344,,,00:00.1,,,
24:46.5,56606.515,330,,,00:00.1,,,
24:46.6,55641.117,310,,,00:00.1,,,
24:46.7,55052.625,354,,,00:00.1,,,
24:46.8,54201.918,303,,,00:00.1,,,
24:46.9,53649.636,313,,,00:00.1,,,
24:47.0,53207.952,330,,,00:00.1,,,
24:47.1,52764.003,325,,,00:00.1,,,
24:47.2,52297.18,317,,,00:00.1,,,
24:47.3,51873.577,320,,,00:00.1,,,
24:47.4,51102.737,300,,,00:00.1,,,
24:47.5,50651.957,322,,,00:00.1,,,
24:47.6,50229.314,342,,,00:00.1,,,
24:47.7,49845.893,310,,,00:00.1,,,
24:47.8,49122.039,308,,,00:00.1,,,
24:47.9,48380.307,334,,,00:00.1,,,
24:48.0,47670.382,344,,,00:00.1,,,
24:48.1,47220.992,308,,,00:00.1,,,
24:48.2,46577.577,342,,,00:00.1,,,
24:48.3,46190.793,332,,,00:00.1,,,
24:48.4,45592.392,330,,,00:00.1,,,
24:48.5,45233.517,320,,,00:00.1,,,
24:48.6,44915.021,342,,,00:00.1,,,
24:48.7,44838.091,347,,,00:00.1,,,
24:48.8,44303.035,332,,,00:00.1,,,
24:48.9,43726.253,327,,,00:00.1,,,
24:49.0,43356.023,325,,,00:00.1,,,
24:49.1,43031.338,322,,,00:00.1,,,
24:49.2,42507.369,369,,,00:00.1,,,
24:49.3,42186.527,315,,,00:00.1,,,
24:49.4,41690.918,337,,,00:00.1,,,
24:49.5,41369.5,349,,,00:00.1,,,
24:49.6,40876.788,310,,,00:00.1,,,
24:49.7,40577.692,325,,,00:00.1,,,
24:49.8,40302.594,320,,,00:00.1,,,
24:49.9,39829.312,342,,,00:00.1,,,
24:50.0,39549.599,315,,,00:00.1,,,
24:50.1,39095.779,349,,,00:00.1,,,
24:50.2,38822.077,315,,,00:00.1,,,
24:50.3,38376.906,354,,,00:00.1,,,
24:50.4,37938.85,313,,,00:00.1,,,
24:50.5,37857.396,330,,,00:00.1,,,
24:50.6,37462.925,310,,,00:00.1,,,
24:50.7,37213.57,317,,,00:00.1,,,
24:50.8,37000.258,300,,,00:00.1,,,
24:50.9,36769.038,337,,,00:00.1,,,
24:51.0,36385.632,347,,,00:00.1,,,
24:51.1,36167.296,313,,,00:00.1,,,
24:51.2,35788.531,347,,,00:00.1,,,
24:51.3,35553.367,317,,,00:00.1,,,
24:51.4,35354.44,310,,,00:00.1,,,
24:51.5,35163.947,322,,,00:00.1,,,
24:51.6,34946.681,305,,,00:00.1,,,
24:51.7,34762.833,313,,,00:00.1,,,
24:51.8,34408.619,300,,,00:00.1,,,
24:51.9,34203.698,313,,,00:00.1,,,
24:52.0,33848.003,334,,,00:00.1,,,
24:52.1,33647.011,347,,,00:00.1,,,
24:52.2,33327.823,310,,,00:00.1,,,
24:52.3,33141.104,315,,,00:00.1,,,
24:52.4,32826.364,361,,,00:00.1,,,
24:52.5,32619.374,337,,,00:00.1,,,
24:52.6,32307.773,320,,,00:00.1,,,
24:52.7,32109.185,332,,,00:00.1,,,
24:52.8,31813.109,337,,,00:00.1,,,
24:52.9,31637.492,320,,,00:00.1,,,
24:53.0,31472.926,320,,,00:00.1,,,
24:53.1,31322.821,320,,,00:00.1,,,
24:53.2,31161.848,310,,,00:00.1,,,
24:53.3,31002.607,334,,,00:00.1,,,
24:53.4,30722.199,337,,,00:00.1,,,
24:53.5,30558.334,308,,,00:00.1,,,
24:53.6,30410.663,349,,,00:00.1,,,
24:53.7,30264.022,313,,,00:00.1,,,
24:53.8,29999.93,317,,,00:00.1,,,
24:53.9,29732.117,325,,,00:00.1,,,
24:54.0,29564.599,327,,,00:00.1,,,
24:54.1,29419.032,325,,,00:00.1,,,
24:54.2,29163.815,315,,,00:00.1,,,
24:54.3,28909.264,320,,,00:00.1,,,
24:54.4,28757.824,317,,,00:00.1,,,
