BBB Time,Mag Vals,Lamor,,,
08:32.1,66410.222,396,,,0.115740741
08:32.2,66417.05,374,,,0.115740741
08:32.3,66416.815,405,,,0.115740741
08:32.4,66414.852,396,,,0.115740741
08:32.5,66413.897,381,,,0.116898148
08:32.6,66414.101,374,,,0.115740741
08:32.7,66412.03,398,,,0.115740741
08:32.8,66411.033,396,,,0.115740741
08:32.9,66410.348,413,,,0.115740741
08:33.0,66410.192,393,,,0.116898148
08:33.1,66407.454,425,,,0.115740741
08:33.2,66405.706,417,,,0.115740741
08:33.3,66403.875,383,,,0.115740741
08:33.4,66404.475,405,,,0.115740741
08:33.5,66401.557,393,,,0.116898148
08:33.6,66399.786,388,,,0.115740741
08:33.7,66399.9,422,,,0.115740741
08:33.8,66398.399,383,,,0.115740741
08:33.9,66395.27,376,,,0.115740741
08:34.0,66392.832,383,,,0.116898148
08:34.1,66392.982,366,,,0.115740741
08:34.2,66390.304,400,,,0.115740741
08:34.3,66381.369,376,,,0.115740741
08:34.4,66385.945,381,,,0.116898148
08:34.5,66384.947,371,,,0.115740741
08:34.6,66380.619,376,,,0.115740741
08:34.7,66377.73,383,,,0.115740741
08:34.8,66375.742,398,,,0.115740741
08:34.9,66372.644,413,,,0.116898148
08:35.0,66368.548,403,,,0.115740741
08:35.1,66365.187,376,,,0.115740741
08:35.2,66362.741,383,,,0.115740741
08:35.3,66359.552,371,,,0.116898148
08:35.4,66356.822,393,,,0.115740741
08:35.5,66352.186,378,,,0.115740741
08:35.6,66348.659,408,,,0.115740741
08:35.7,66346.919,398,,,0.115740741
08:35.8,66341.442,479,,,0.115740741
08:35.9,66338.884,388,,,0.116898148
08:36.0,66335.726,393,,,0.115740741
08:36.1,66330.669,396,,,0.115740741
08:36.2,66326.041,422,,,0.115740741
08:36.3,66322.154,388,,,0.115740741
08:36.4,66316.807,410,,,0.115740741
08:36.5,66312.05,435,,,0.116898148
08:36.6,66308.132,378,,,0.115740741
08:36.7,66302.685,410,,,0.115740741
08:36.8,66298.418,381,,,0.115740741
08:36.9,66292.372,383,,,0.116898148
08:37.0,66287.254,403,,,0.115740741
08:37.1,66283.917,413,,,0.115740741
08:37.2,66277.601,391,,,0.115740741
08:37.3,66276.331,396,,,0.116898148
08:37.4,66278.2,398,,,0.115740741
08:37.5,66278.35,403,,,0.115740741
08:37.6,66277.9,422,,,0.115740741
08:37.7,66275.851,376,,,0.116898148
08:37.8,66273.412,364,,,0.115740741
08:37.9,66277.751,378,,,0.115740741
08:38.0,66275.162,386,,,0.115740741
08:38.1,66275.402,381,,,0.115740741
08:38.2,66273.053,408,,,0.116898148
08:38.3,66264.957,413,,,0.115740741
08:38.4,66260.181,374,,,0.115740741
08:38.5,66260.049,432,,,0.115740741
08:38.6,66258.042,391,,,0.116898148
08:38.7,66260.9,383,,,0.115740741
08:38.8,66263.429,378,,,0.115740741
08:38.9,66265.227,400,,,0.115740741
08:39.0,66266.258,376,,,0.115740741
08:39.1,66265.017,371,,,0.116898148
08:39.2,66263.01,393,,,0.115740741
08:39.3,66261.44,369,,,0.115740741
08:39.4,66258.192,376,,,0.115740741
08:39.5,66261.38,415,,,0.116898148
08:39.6,66263.627,366,,,0.115740741
08:39.7,66264.178,378,,,0.115740741
08:39.8,66267.468,405,,,0.115740741
08:39.9,66272.933,374,,,0.115740741
08:40.0,66276.48,381,,,0.116898148
08:40.1,66277.511,396,,,0.115740741
08:40.2,66281.568,403,,,0.115740741
08:40.3,66286.284,403,,,0.115740741
08:40.4,66289.094,381,,,0.115740741
08:40.5,66293.451,388,,,0.116898148
08:40.6,66300.587,383,,,0.115740741
08:40.7,66305.214,383,,,0.115740741
08:40.8,66309.761,388,,,0.115740741
08:40.9,66314.578,396,,,0.115740741
08:41.0,66320.325,398,,,0.116898148
08:41.1,66323.323,400,,,0.115740741
08:41.2,66327.151,391,,,0.115740741
08:41.3,66330.259,378,,,0.115740741
08:41.4,66334.127,386,,,0.116898148
08:41.5,66336.056,386,,,0.115740741
08:41.6,66337.235,391,,,0.115740741
08:41.7,66340.534,403,,,0.115740741
08:41.8,66342.861,383,,,0.116898148
08:41.9,66346.049,378,,,0.115740741
08:42.0,66347.399,369,,,0.115740741
08:42.1,66351.817,417,,,0.115740741
08:42.2,66355.524,386,,,0.115740741
08:42.3,66358.172,386,,,0.116898148
08:42.4,66361.781,374,,,0.115740741
08:42.5,66367.377,410,,,0.115740741
08:42.6,66371.234,415,,,0.115740741
08:42.7,66373.694,398,,,0.116898148
08:42.8,66377.28,378,,,0.115740741
08:42.9,66379.561,388,,,0.115740741
08:43.0,66381.279,376,,,0.115740741
08:43.1,66382.606,374,,,0.115740741
08:43.2,66388.076,381,,,0.116898148
08:43.3,66389.644,413,,,0.115740741
08:43.4,66391.445,405,,,0.115740741
08:43.5,66394.099,422,,,0.115740741
08:43.6,66397.041,383,,,0.115740741
08:43.7,66396.381,427,,,0.116898148
08:43.8,66396.177,410,,,0.115740741
08:43.9,66398.969,405,,,0.115740741
08:44.0,66399.9,391,,,0.115740741
08:44.1,66400.266,371,,,0.115740741
08:44.2,66401.437,364,,,0.116898148
08:44.3,66405.316,376,,,0.115740741
08:44.4,66403.605,422,,,0.115740741
08:44.5,66405.106,381,,,0.115740741
08:44.6,66404.842,410,,,0.115740741
08:44.7,66406.703,396,,,0.116898148
08:44.8,66405.827,378,,,0.115740741
08:44.9,66405.923,391,,,0.115740741
