BBB Time,Mav Time,Mav Roll,Mav Pitch,Mav Yaw
01:26:15.166,5125772,-0.023195991292595863,-0.05047820508480072,-0.31668373942375183
01:26:15.263,5125872,-0.023122981190681458,-0.05041816085577011,-0.31669190526008606
01:26:15.363,5125972,-0.023022964596748352,-0.050448939204216,-0.3167162239551544
01:26:15.463,5126072,-0.022935813292860985,-0.0504966601729393,-0.31674161553382874
01:26:15.564,5126172,-0.022831466048955917,-0.05053646117448807,-0.3167945146560669
01:26:15.664,5126272,-0.02271391451358795,-0.05054786056280136,-0.3168173134326935
01:26:15.767,5126374,-0.02258441410958767,-0.05053438991308212,-0.3168089687824249
01:26:15.865,5126472,-0.02251506596803665,-0.0504474937915802,-0.3168494403362274
01:26:15.965,5126572,-0.022435832768678665,-0.050322823226451874,-0.31681114435195923
01:26:16.065,5126672,-0.022352086380124092,-0.050327204167842865,-0.316810667514801
01:26:16.169,5126772,-0.022298526018857956,-0.050398409366607666,-0.3168076276779175
01:26:16.267,5126872,-0.022162647917866707,-0.05041629821062088,-0.31680381298065186
01:26:16.369,5126974,-0.02205970510840416,-0.050364017486572266,-0.316744863986969
01:26:16.467,5127072,-0.022025905549526215,-0.05035123974084854,-0.31672683358192444
01:26:16.567,5127172,-0.02196785993874073,-0.050246208906173706,-0.31667280197143555
01:26:16.670,5127274,-0.021974900737404823,-0.05017339438199997,-0.3166576027870178
01:26:16.771,5127375,-0.02184027060866356,-0.050186887383461,-0.3166130483150482
01:26:16.868,5127472,-0.02182633988559246,-0.05013083666563034,-0.31661275029182434
01:26:16.968,5127572,-0.021741991862654686,-0.05010753124952316,-0.3165990710258484
01:26:17.072,5127674,-0.0217086561024189,-0.05005691945552826,-0.31657564640045166
01:26:17.172,5127772,-0.021660393103957176,-0.050031326711177826,-0.3165987432003021
01:26:17.269,5127872,-0.021560069173574448,-0.05011332035064697,-0.31655749678611755
01:26:17.370,5127972,-0.021533269435167313,-0.05021383613348007,-0.31650322675704956
01:26:17.473,5128074,-0.021473746746778488,-0.05035529285669327,-0.3164852261543274
01:26:17.570,5128172,-0.021433699876070023,-0.05057141184806824,-0.31651169061660767
01:26:17.671,5128272,-0.021392572671175003,-0.05066147446632385,-0.316476434469223
01:26:17.772,5128372,-0.021350476890802383,-0.0507633239030838,-0.3164858818054199
01:26:17.874,5128475,-0.02133231982588768,-0.050893060863018036,-0.3165130615234375
01:26:17.975,5128575,-0.021338053047657013,-0.05103730410337448,-0.31647828221321106
01:26:18.072,5128672,-0.02123471349477768,-0.05115903913974762,-0.316461443901062
01:26:18.179,5128775,-0.02105986885726452,-0.05119520425796509,-0.31645894050598145
01:26:18.276,5128875,-0.02095724456012249,-0.05128239840269089,-0.31644853949546814
01:26:18.373,5128972,-0.020851098001003265,-0.051233887672424316,-0.31647273898124695
01:26:18.473,5129072,-0.0206831693649292,-0.05129648745059967,-0.31647053360939026
01:26:18.574,5129172,-0.02053985930979252,-0.051332928240299225,-0.31643980741500854
01:26:18.677,5129274,-0.02043544501066208,-0.05134331434965134,-0.31642434000968933
01:26:18.775,5129372,-0.02036207541823387,-0.05133805423974991,-0.31643685698509216
01:26:18.875,5129472,-0.020342040807008743,-0.05139770358800888,-0.3164311349391937
01:26:18.976,5129572,-0.020341821014881134,-0.05147065967321396,-0.31644582748413086
01:26:19.076,5129672,-0.020443810150027275,-0.05152435600757599,-0.31635594367980957
01:26:19.180,5129772,-0.020539846271276474,-0.05155777186155319,-0.316374808549881
01:26:19.280,5129875,-0.02063954994082451,-0.0516447052359581,-0.31638312339782715
01:26:19.380,5129974,-0.020760128274559975,-0.05173204094171524,-0.316356897354126
01:26:19.477,5130072,-0.020919600501656532,-0.05190206319093704,-0.3162560760974884
01:26:19.578,5130172,-0.02102024294435978,-0.05207142233848572,-0.31624338030815125
01:26:19.678,5130272,-0.02118101716041565,-0.05215858668088913,-0.31624847650527954
01:26:19.779,5130372,-0.021331822499632835,-0.05231142044067383,-0.3162437975406647
01:26:19.879,5130472,-0.02144022285938263,-0.052335791289806366,-0.3162539601325989
01:26:19.982,5130575,-0.021460644900798798,-0.0523001030087471,-0.3162509799003601
01:26:20.080,5130672,-0.02148483693599701,-0.052233584225177765,-0.3162253499031067
01:26:20.183,5130774,-0.02149728499352932,-0.0521712526679039,-0.31618422269821167
01:26:20.283,5130875,-0.02144879288971424,-0.05209270119667053,-0.316223680973053
01:26:20.381,5130972,-0.021383022889494896,-0.05210328847169876,-0.3162213861942291
01:26:20.481,5131072,-0.021285405382514,-0.05218169093132019,-0.3162228763103485
01:26:20.582,5131172,-0.02123931795358658,-0.052300140261650085,-0.31620723009109497
01:26:20.690,5131277,-0.021138356998562813,-0.0524991974234581,-0.3162049949169159
01:26:20.783,5131372,-0.021145610138773918,-0.05268731713294983,-0.31621143221855164
01:26:20.883,5131472,-0.02111656963825226,-0.052825815975666046,-0.31617090106010437
01:26:20.986,5131575,-0.021080436185002327,-0.0529024675488472,-0.3161765933036804
01:26:21.084,5131672,-0.021065369248390198,-0.05298970639705658,-0.316167950630188
01:26:21.187,5131774,-0.021102461963891983,-0.05313771963119507,-0.3161763846874237
01:26:21.287,5131875,-0.02111990563571453,-0.053220249712467194,-0.31610968708992004
01:26:21.385,5131972,-0.021083924919366837,-0.05322602391242981,-0.316095232963562
01:26:21.485,5132072,-0.021008171141147614,-0.053237348794937134,-0.3160974681377411
01:26:21.585,5132172,-0.021039631217718124,-0.05322770029306412,-0.31609225273132324
01:26:21.686,5132272,-0.020988577976822853,-0.05313260108232498,-0.3161028027534485
01:26:21.786,5132372,-0.02088187448680401,-0.0530279204249382,-0.3160846531391144
01:26:21.886,5132472,-0.020773524418473244,-0.052884191274642944,-0.3161429166793823
01:26:21.987,5132572,-0.02067277394235134,-0.05283835530281067,-0.3161623179912567
01:26:22.087,5132672,-0.020572451874613762,-0.052651748061180115,-0.3161991834640503
01:26:22.194,5132775,-0.02045738510787487,-0.05245829373598099,-0.31617072224617004
01:26:22.291,5132874,-0.020447444170713425,-0.05227189511060715,-0.31622499227523804
01:26:22.388,5132972,-0.02043849788606167,-0.05205662548542023,-0.3162047266960144
01:26:22.489,5133072,-0.02053903043270111,-0.051743023097515106,-0.3161926567554474
01:26:22.589,5133172,-0.02063043974339962,-0.05151674151420593,-0.31618085503578186
01:26:22.689,5133272,-0.020847268402576447,-0.05127142369747162,-0.31620287895202637
01:26:22.790,5133372,-0.02116096019744873,-0.05099872499704361,-0.3161576986312866
01:26:22.890,5133472,-0.02144632674753666,-0.05082400143146515,-0.31612977385520935
01:26:22.991,5133572,-0.02169189602136612,-0.05056895315647125,-0.31611472368240356
01:26:23.091,5133672,-0.02192213386297226,-0.05039140582084656,-0.316077321767807
01:26:23.195,5133772,-0.022087039425969124,-0.0502205416560173,-0.316054105758667
01:26:23.292,5133872,-0.02224935218691826,-0.05000995844602585,-0.31607723236083984
01:26:23.392,5133972,-0.02240833267569542,-0.04977840185165405,-0.31606727838516235
01:26:23.493,5134072,-0.02249801903963089,-0.04964195936918259,-0.31607720255851746
01:26:23.593,5134172,-0.02253001183271408,-0.049474552273750305,-0.3160839378833771
01:26:23.701,5134277,-0.022501880303025246,-0.04933323711156845,-0.3159751296043396
01:26:23.794,5134372,-0.022402603179216385,-0.04918968677520752,-0.3159523010253906
01:26:23.897,5134475,-0.02229531854391098,-0.0491102933883667,-0.3159030079841614
01:26:23.998,5134575,-0.022281460464000702,-0.049072422087192535,-0.3159031569957733
01:26:24.095,5134672,-0.022193854674696922,-0.04911840707063675,-0.3158564269542694
01:26:24.202,5134775,-0.022126195952296257,-0.049177683889865875,-0.3158377707004547
01:26:24.296,5134872,-0.022100457921624184,-0.04920167475938797,-0.3157942295074463
01:26:24.396,5134972,-0.022119861096143723,-0.049286045134067535,-0.31579482555389404
01:26:24.496,5135072,-0.022181538864970207,-0.04931268095970154,-0.31579041481018066
01:26:24.597,5135172,-0.022230559960007668,-0.049303390085697174,-0.3157431483268738
01:26:24.700,5135275,-0.02234334871172905,-0.049214914441108704,-0.3157115876674652
01:26:24.798,5135372,-0.022441890090703964,-0.049194395542144775,-0.31568488478660583
01:26:24.898,5135472,-0.022568274289369583,-0.04907864332199097,-0.3156358301639557
01:26:24.998,5135572,-0.022814182564616203,-0.04896827042102814,-0.3155880868434906
01:26:25.102,5135675,-0.022976497188210487,-0.04889979213476181,-0.31559932231903076
01:26:25.205,5135777,-0.023173309862613678,-0.048842474818229675,-0.31558525562286377
01:26:25.300,5135872,-0.02332521788775921,-0.04880353808403015,-0.31552720069885254
01:26:25.403,5135974,-0.02346140146255493,-0.04872363805770874,-0.3155272901058197
01:26:25.500,5136072,-0.023563550785183907,-0.048782892525196075,-0.31549879908561707
01:26:25.601,5136172,-0.023599136620759964,-0.048889219760894775,-0.3154613673686981
01:26:25.701,5136272,-0.023589685559272766,-0.04894014447927475,-0.3154884874820709
01:26:25.802,5136372,-0.02364075742661953,-0.04894294589757919,-0.31548574566841125
01:26:25.902,5136472,-0.023596441373229027,-0.04894960671663284,-0.31546756625175476
01:26:26.002,5136572,-0.02353588491678238,-0.04900449514389038,-0.3154382109642029
01:26:26.103,5136672,-0.023504899814724922,-0.049021996557712555,-0.3154478967189789
01:26:26.206,5136772,-0.023553423583507538,-0.04902278631925583,-0.3154599368572235
01:26:26.304,5136872,-0.02359652705490589,-0.04897042363882065,-0.315388560295105
01:26:26.404,5136972,-0.023633213713765144,-0.04890536516904831,-0.31537896394729614
01:26:26.507,5137074,-0.02367856167256832,-0.04887406527996063,-0.3154037892818451
01:26:26.605,5137172,-0.023661844432353973,-0.048854127526283264,-0.31539854407310486
01:26:26.705,5137272,-0.02365707978606224,-0.048842377960681915,-0.3154115676879883
01:26:26.809,5137374,-0.023631345480680466,-0.048753269016742706,-0.31547003984451294
01:26:26.906,5137472,-0.02367432974278927,-0.04867208003997803,-0.315478652715683
